,product,place,amount,hot,rain,snow,cost,year,month
0,Целебные травы,Анор Лондо,37.80287439762785,1,0,0,2.07,2216,Jan
1,Целебные травы,Анор Лондо,43.26484390196759,1,0,0,2.07,2216,Jan
2,Целебные травы,Анор Лондо,35.62988889222617,0,0,0,2.07,2216,Jan
3,Целебные травы,Анор Лондо,37.47410380540309,0,0,0,2.07,2216,Jan
4,Целебные травы,Анор Лондо,48.58682748572954,0,0,1,2.07,2216,Jan
5,Целебные травы,Анор Лондо,43.438513661636414,1,0,0,2.07,2216,Jan
6,Целебные травы,Анор Лондо,37.60674653003786,0,1,0,2.07,2216,Jan
7,Целебные травы,Анор Лондо,44.57415245279996,1,0,0,2.07,2216,Jan
8,Целебные травы,Анор Лондо,49.581121512662854,1,0,0,2.07,2216,Jan
9,Целебные травы,Анор Лондо,32.94405875961593,0,0,0,2.07,2216,Jan
10,Целебные травы,Анор Лондо,23.754253426196982,0,0,0,2.07,2216,Jan
11,Целебные травы,Анор Лондо,39.45925445948013,1,0,0,2.07,2216,Jan
12,Целебные травы,Анор Лондо,30.31398271363081,0,0,0,2.07,2216,Jan
13,Целебные травы,Анор Лондо,44.29190340683171,0,0,1,2.07,2216,Jan
14,Целебные травы,Анор Лондо,45.80697294266465,0,1,0,2.07,2216,Jan
15,Целебные травы,Анор Лондо,34.52711049487695,0,0,0,2.07,2216,Jan
16,Целебные травы,Анор Лондо,46.42096297990274,0,0,1,2.07,2216,Jan
17,Целебные травы,Анор Лондо,47.403601841498,0,0,1,2.07,2216,Jan
18,Целебные травы,Анор Лондо,27.057772451714065,0,0,0,2.07,2216,Jan
19,Целебные травы,Анор Лондо,48.37077495045352,1,0,0,2.07,2216,Jan
20,Целебные травы,Анор Лондо,40.341357393791505,0,0,0,2.07,2216,Jan
21,Целебные травы,Анор Лондо,34.104978714913784,0,0,0,2.07,2216,Jan
22,Целебные травы,Анор Лондо,38.521951969214136,1,0,0,2.07,2216,Jan
23,Целебные травы,Анор Лондо,41.0654123551534,0,0,1,2.07,2216,Jan
24,Целебные травы,Анор Лондо,44.17561208338269,0,1,0,3.07,2216,Jan
25,Целебные травы,Анор Лондо,45.48351367943177,0,0,1,3.07,2216,Jan
26,Целебные травы,Анор Лондо,40.28609592738107,0,1,0,3.07,2216,Jan
27,Целебные травы,Анор Лондо,32.1523685552239,0,0,0,3.07,2216,Jan
28,Целебные травы,Анор Лондо,21.270357434266398,0,0,0,3.07,2216,Jan
29,Целебные травы,Анор Лондо,39.38872064148369,0,1,0,3.07,2216,Jan
30,Целебные травы,Анор Лондо,36.54923392503946,0,0,0,3.07,2216,Feb
31,Целебные травы,Анор Лондо,44.86234902122614,0,1,0,3.07,2216,Feb
32,Целебные травы,Анор Лондо,29.557114566442415,0,0,0,3.07,2216,Feb
