price,product,place,amount,date,hot,rain,snow,cost,mean_of_comp_prices
3.9,Целебные травы,Анор Лондо,37.80287439762785,2216-01-02,1,0,0,2.07,4.21
3.9,Целебные травы,Анор Лондо,43.26484390196759,2216-01-03,1,0,0,2.07,4.046666666666667
3.9,Целебные травы,Анор Лондо,35.62988889222617,2216-01-04,0,0,0,2.07,3.9799999999999995
3.9,Целебные травы,Анор Лондо,37.47410380540309,2216-01-05,0,0,0,2.07,3.903333333333333
3.9,Целебные травы,Анор Лондо,48.58682748572954,2216-01-06,0,0,1,2.07,3.9799999999999995
3.9,Целебные травы,Анор Лондо,43.438513661636414,2216-01-07,1,0,0,2.07,4.18
3.9,Целебные травы,Анор Лондо,37.60674653003786,2216-01-08,0,1,0,2.07,4.18
3.9,Целебные травы,Анор Лондо,44.57415245279996,2216-01-09,1,0,0,2.07,3.995
3.9,Целебные травы,Анор Лондо,49.581121512662854,2216-01-10,1,0,0,2.07,0.0
3.9,Целебные травы,Анор Лондо,32.94405875961593,2216-01-11,0,0,0,2.07,3.9799999999999995
3.9,Целебные травы,Анор Лондо,23.754253426196982,2216-01-12,0,0,0,2.07,4.056666666666666
3.9,Целебные травы,Анор Лондо,39.45925445948013,2216-01-13,1,0,0,2.07,3.78
3.9,Целебные травы,Анор Лондо,30.31398271363081,2216-01-14,0,0,0,2.07,4.18
3.9,Целебные травы,Анор Лондо,44.29190340683171,2216-01-15,0,0,1,2.07,4.195
3.9,Целебные травы,Анор Лондо,45.80697294266465,2216-01-16,0,1,0,2.07,4.21
3.9,Целебные травы,Анор Лондо,34.52711049487695,2216-01-17,0,0,0,2.07,4.1049999999999995
3.9,Целебные травы,Анор Лондо,46.42096297990274,2216-01-18,0,0,1,2.07,4.14
4.3,Целебные травы,Анор Лондо,47.403601841498,2216-01-19,0,0,1,2.07,3.75
4.3,Целебные травы,Анор Лондо,27.057772451714065,2216-01-20,0,0,0,2.07,4.195
4.3,Целебные травы,Анор Лондо,48.37077495045352,2216-01-21,1,0,0,2.07,4.14
4.3,Целебные травы,Анор Лондо,40.341357393791505,2216-01-22,0,0,0,2.07,4.14
4.3,Целебные травы,Анор Лондо,34.104978714913784,2216-01-23,0,0,0,2.07,4.14
4.3,Целебные травы,Анор Лондо,38.521951969214136,2216-01-24,1,0,0,2.07,4.126666666666666
4.3,Целебные травы,Анор Лондо,41.0654123551534,2216-01-25,0,0,1,2.07,4.1049999999999995
4.3,Целебные травы,Анор Лондо,44.17561208338269,2216-01-26,0,1,0,3.07,4.069999999999999
